gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200000525388681183e+01,1.200000441169500505e+02,6.792943555775927678e+00,2.726770568124659011e+00,-2.875332673338679493e-03,-1.945900915923498342e+00
3.199997927730084513e+01,1.200000777914074348e+02,8.393331636982788169e+00,2.735426146297723182e+00,8.640223376989711324e-02,-1.944740997273465499e+00
3.200004911624003512e+01,1.199998809180210770e+02,5.063729714069151733e-01,2.872700393502693128e+00,4.789312466799600099e-02,-2.039061005110318625e+00
3.200009521494096987e+01,1.199999463340990076e+02,1.246651465416152460e+00,2.854991792185598065e+00,1.183239330955126491e-02,-2.210905672462778249e+00
3.200006398119957396e+01,1.200000546341531447e+02,1.060126062983808293e+00,2.985419127317202825e+00,6.872636693878085568e-02,-2.203227263432199656e+00
3.200003416888112895e+01,1.199999301966200989e+02,1.595201904356630340e+00,2.992018028423023335e+00,3.187558330446257915e-02,-2.273328760686227579e+00
3.200003840231953944e+01,1.199999020158153087e+02,-6.383026588937235068e-01,3.011605818299534221e+00,2.492570468480333548e-02,-2.466784230880518347e+00
3.200008418264562948e+01,1.199999876383094772e+02,3.969210248300061306e+00,3.108837040164751375e+00,3.355420523436879882e-02,-2.532659239206943358e+00
3.200006326768748011e+01,1.199999393186640475e+02,1.374593667998765767e+01,3.183403924115268513e+00,4.556957634760715886e-02,-2.605354222488435401e+00
3.200007357047032741e+01,1.200000084533057532e+02,1.164121720205745447e+01,3.364084963444888832e+00,-1.049424842756977033e-01,-2.629021237369733477e+00
3.200013850212972244e+01,1.200000676111990998e+02,-1.117402197593469815e+00,3.358541911126756929e+00,7.243228993853766638e-03,-2.798727527905731538e+00
3.200010831105712583e+01,1.200000569900924035e+02,-7.783980616045432122e+00,3.409553545920009476e+00,-1.012917350946676981e-01,-2.816867628879931917e+00
3.200007026605070592e+01,1.199999954042353920e+02,1.570814970622148365e+00,3.463628722182023889e+00,-2.434852946529584422e-02,-2.841960108331932577e+00
3.200007324647206985e+01,1.199999333502172618e+02,1.001063154012545553e+01,3.499630404599500366e+00,8.733497054274445837e-02,-2.894131471172117553e+00
3.200007823834258147e+01,1.199999684873017287e+02,5.415738177124486796e+00,3.569836477875290903e+00,6.912951919706583626e-02,-3.037767321240218976e+00
3.200005690008749326e+01,1.200000855093119867e+02,3.914373279566531583e+00,3.638774918498241195e+00,-1.444925010522047151e-02,-3.111405982329699338e+00
3.200012413643754172e+01,1.199999110114829364e+02,-6.743736369236413175e+00,3.681584024616754824e+00,-4.716395587019436841e-02,-3.214475099680074610e+00
3.200002869107508729e+01,1.200000623816227545e+02,-1.370007681345025041e+00,3.823152446273729410e+00,-2.951729309074133806e-02,-3.212958037684300994e+00
3.200001893026305311e+01,1.199999653857584150e+02,7.077335462646241915e+00,3.912453962695983112e+00,-6.719570240399250216e-02,-3.357398930928844116e+00
3.200015175087185071e+01,1.199998753020334448e+02,1.310848770896152260e+01,3.862764797157150376e+00,-1.164308898110994195e-01,-3.374779471981057544e+00
3.200012253711150834e+01,1.199999585521585885e+02,4.810185162229481115e+00,4.005810982024696543e+00,-8.173588295198399060e-05,-3.495074606878315393e+00
3.200006896251965571e+01,1.199999776178552935e+02,8.487316859592544560e+00,4.009275718306713365e+00,-6.340591072247658833e-02,-3.645557157811869509e+00
3.200013412705754945e+01,1.199999260847060896e+02,2.315291019105575643e+01,4.116641850536763236e+00,-2.431272493577876434e-02,-3.634961407660360688e+00
3.200002431913640066e+01,1.199999206665208646e+02,1.396003504607981327e+01,4.119238924262579538e+00,-2.365382761415663060e-02,-3.678790253365625595e+00
3.200017817790661923e+01,1.200000122762184844e+02,1.360738947769996443e+01,4.194684311180836289e+00,4.661982709060951552e-02,-3.749468329673116163e+00
3.200014035137407120e+01,1.199999024937913532e+02,9.561792091012074835e+00,4.285408212563885932e+00,-2.323355301519827373e-02,-3.847141102672070545e+00
3.200016329480116895e+01,1.199999775829888620e+02,1.082403368347770467e+01,4.296096270507439030e+00,-1.668198923395094319e-02,-4.053402084019195328e+00
3.200012724462536795e+01,1.200000807104010931e+02,-1.441087331866770072e+00,4.379448143297840268e+00,7.047311000210439852e-03,-4.055541814340796414e+00
3.200012601597742901e+01,1.200000177885121531e+02,1.843706290401254577e+01,4.475922943736238224e+00,5.801020102743231072e-02,-4.084181476510645226e+00
3.200021756778918558e+01,1.199999252843720257e+02,1.480963956125545700e+01,4.517571523688495461e+00,4.969985210557810451e-03,-4.185324727294777780e+00
3.200014201791006485e+01,1.199999037023941639e+02,2.701015394743071951e+00,4.568747734304754893e+00,1.681013458577299349e-02,-4.229871913037249520e+00
3.200015297282275384e+01,1.199999638453697344e+02,1.108749352181650139e+01,4.716857017197599866e+00,-7.212934323362969746e-02,-4.356947095291403116e+00
3.200007571397851791e+01,1.200000231351337021e+02,4.212637266333468133e+00,4.763110884740610729e+00,-1.762312388645546554e-02,-4.534775457967243462e+00
3.200015375853211452e+01,1.199998867127883528e+02,1.782334312225216522e+01,4.845331189170363650e+00,6.778515255689669672e-02,-4.586358706109558092e+00
3.200014881958666990e+01,1.199999505356444587e+02,1.989739851569207474e+01,4.817605388193821447e+00,-2.488101685777848945e-02,-4.609247366696137327e+00
3.200023631118047263e+01,1.200000224351135643e+02,8.344785283445254720e+00,4.872412333796281025e+00,2.801935144224807633e-02,-4.693241553122575738e+00
3.200019862237626000e+01,1.199999957887006872e+02,1.662788658508487316e+01,4.981384042994782213e+00,1.062049819035748438e-01,-4.772222714865992366e+00
3.200012148315278893e+01,1.200000254169189304e+02,6.530494868441550693e+00,5.096635711381075851e+00,7.662630570822322185e-02,-4.865440138471614162e+00
3.200019741166322262e+01,1.199999913901310435e+02,2.380815627087007158e+01,5.106091761127627748e+00,-1.178262046029163179e-02,-4.869695643503641591e+00
3.200019798948595451e+01,1.200000086137364121e+02,8.642124960084366592e+00,5.219711973776262504e+00,5.540493836802543731e-02,-4.956122297466253102e+00
