gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200018636927435267e+01,1.199999817519173604e+02,1.544017516986973604e+01,4.342393884586055464e+00,8.888332451633292053e-03,-3.986214489151573392e+00
3.200007998505540741e+01,1.199999593807272049e+02,2.355703474026798716e+01,4.373442603197275069e+00,1.113429979997738323e-01,-3.990073745680550399e+00
3.200019249880644168e+01,1.199999471567507783e+02,2.115159246868614673e+00,4.398400177452410631e+00,-6.613584849095577312e-02,-4.207240472585768387e+00
3.200017387973631600e+01,1.199999817737901395e+02,6.177548693894319598e+00,4.552508186971004456e+00,5.386546894218316450e-03,-4.244586426896844955e+00
3.200013966444056734e+01,1.200000004063874002e+02,3.718336478972467773e+00,4.587142317437142403e+00,2.363012118894273345e-02,-4.260590344365993154e+00
3.200013601866784541e+01,1.199999630336466794e+02,1.115525064252916287e+01,4.663365820796471439e+00,5.711472083448215775e-02,-4.298186441159138838e+00
3.200013536611778875e+01,1.199999551598963023e+02,1.147563311446398160e+01,4.773134601393142162e+00,8.637718905058816912e-03,-4.444632734201447555e+00
3.200019796438930086e+01,1.199999653055573958e+02,1.737552386378290947e+01,4.713764421465960197e+00,3.031596238786514463e-02,-4.556033617012779757e+00
3.200021066360260846e+01,1.199999943369937370e+02,1.701229715814072208e+01,4.869558246953395120e+00,7.101698809944563540e-02,-4.623196814596120419e+00
3.200015928229409923e+01,1.200000243185087925e+02,1.218020519458935524e+01,4.987258329369490539e+00,-1.869989660744280843e-02,-4.607641991015523075e+00
3.200009081707158032e+01,1.199999930531371604e+02,9.221791824589477216e+00,4.963626736177620735e+00,2.506806807238077476e-03,-4.795012508973548471e+00
3.200012463570322296e+01,1.200000491902937085e+02,1.044042063047827362e+01,5.125656502228425282e+00,4.913864003321474078e-02,-4.789084263821157705e+00
3.200021212485346211e+01,1.200000242383971312e+02,2.110099268684932028e+00,5.159279845316471658e+00,4.242948104021727201e-02,-4.859727203631099890e+00
3.200014529632733229e+01,1.200000080162540854e+02,1.787467658381328661e+01,5.255401167555640463e+00,1.281331763882846524e-02,-4.932001252696909255e+00
3.200025238053330412e+01,1.199999921206977405e+02,1.115612100767361170e+01,5.208169286241569829e+00,5.393018097306639946e-02,-5.117480700569893237e+00
3.200020454371817635e+01,1.199999881307191316e+02,3.656858721955616431e+01,5.340277142380113418e+00,-3.673224533395192531e-02,-5.121036917769198560e+00
3.200023289686070882e+01,1.200000123417226519e+02,3.076943481240031986e+01,5.397803101014212679e+00,5.258398121550886262e-02,-5.168252636253499510e+00
3.200017650336596375e+01,1.200000545506686365e+02,7.116515492472705873e+00,5.517010747457336883e+00,3.584091445318510205e-02,-5.277692488115730107e+00
3.200014629591615289e+01,1.199999723379364127e+02,1.817571394885887770e+01,5.562657709701205100e+00,8.419160048338981961e-02,-5.360166950426060062e+00
3.200017821774847704e+01,1.200000076565886360e+02,1.479915344522308729e+01,5.624119226836179486e+00,2.347900229174842285e-02,-5.460927595321779293e+00
3.200027097107811613e+01,1.200000826596225778e+02,1.886659510112821181e+01,5.610894636264285751e+00,6.007528122306331902e-02,-5.514720728477123579e+00
3.200023176634275046e+01,1.199999472421056623e+02,1.097167658906905174e+01,5.742870143606255695e+00,-1.788633411846457869e-02,-5.581149962071890513e+00
3.200017240601660973e+01,1.199999947130952904e+02,3.295357809065897214e+01,5.779087300181336317e+00,2.193733573252935887e-02,-5.668120983283770897e+00
3.200028225029657136e+01,1.200000352586037025e+02,1.770129061243631341e+01,5.855751084424396957e+00,-3.022887428629019574e-03,-5.760319892128357822e+00
3.200018286885095620e+01,1.200000401338757570e+02,1.841908503776615191e+01,6.000727771550299572e+00,3.417763129515962589e-02,-5.772276204000677424e+00
